scenario,question,attr1,attr2,attr3,attr4,attr5,attr1_min,attr2_min,attr3_min,attr4_min,attr5_min,attr1_max,attr2_max,attr3_max,attr4_max,attr5_max
loose_leaf_tea,Imagine you are Djedefre. Which loose leaf tea would you prefer?,caffeine_content,leaf_size,oxidation_level,steeping_time,resteep_potential,0.0,0.1,0.0,1.0,1.0,70.0,10.0,100.0,7.0,8.0
cutting_board,Imagine you are Antonín Dvořák. Which cutting board would you prefer?,board_thickness,surface_area,knife_mark_resistance,grip_stability,ease_of_cleaning,1.0,300.0,1.0,1.0,1.0,5.0,1200.0,10.0,10.0,10.0
knee_pads,Imagine you are Lara Croft. Which knee pads would you prefer?,padding_thickness,strap_width,ventilation_holes,impact_rating,coverage_area,10.0,20.0,2.0,5.0,12.0,30.0,50.0,12.0,20.0,30.0
ice_cream,Imagine you are Johannes Gutenberg. Which ice cream would you prefer?,creaminess,mix_in_density,serving_size,flavor_intensity,smoothness,10.0,0.0,4.0,20.0,10.0,18.0,20.0,16.0,100.0,50.0
painters_tape,Imagine you are Queen Amina. Which painter's tape would you prefer?,clean_removal_time,uv_resistance,width,paint_bleed_resistance,roll_length,7.0,3.0,24.0,6.0,30.0,60.0,21.0,72.0,10.0,180.0
olive_pitter,Imagine you are Meryl Streep. Which olive pitter would you prefer?,pitting_speed,splash_containment,pit_accuracy,olive_damage,handle_comfort,10.0,70.0,90.0,0.0,1.0,50.0,100.0,100.0,15.0,10.0
wood_burner,Imagine you are Rocky Balboa. Which wood burning tool would you prefer?,max_temperature,heat_up_time,tip_varieties,cord_length,temperature_stability,750.0,15.0,5.0,3.0,5.0,1100.0,120.0,30.0,12.0,50.0
hotel,Imagine you are Sneferu. Which hotel would you prefer to stay at?,distance_to_city_center,room_size,guest_rating,noise_level,age_of_property,0.1,200.0,3.0,30.0,0.0,5.0,600.0,5.0,70.0,50.0
hot_glue_sticks,Imagine you are Constance Chatterley. Which hot glue sticks would you prefer?,stick_length,holding_strength,drying_time,flexibility_when_dry,quantity_per_pack,4.0,100.0,10.0,5.0,10.0,12.0,500.0,60.0,45.0,100.0
scrunchie,Imagine you are Zhang Heng. Which scrunchie would you prefer?,scrunchie_diameter,elastic_strength,fabric_volume,ruffle_depth,fabric_softness,3.0,1.0,2.0,0.5,1.0,6.0,5.0,10.0,3.0,10.0
rfid_wallet,Imagine you are Dr. Manhattan. Which RFID-blocking wallet would you prefer?,blocking_effectiveness,card_capacity,expected_lifespan,thickness,scratch_resistance,90.0,4.0,1.0,6.0,1.0,99.9,16.0,10.0,25.0,10.0
blush,Imagine you are an actuary. Which blush would you prefer?,color_intensity,blend_time,staying_power,shimmer_level,buildability,10.0,5.0,2.0,0.0,1.0,100.0,60.0,16.0,100.0,5.0
cocktail_kit,Imagine you are Grinch. Which cocktail making kit would you prefer?,number_of_tools,shaker_capacity,number_of_recipes,tool_durability,storage_case_size,6.0,16.0,25.0,2.0,200.0,20.0,32.0,100.0,10.0,800.0
security_camera,Imagine you are Deadpool. Which security camera would you prefer?,resolution,field_of_view,night_vision_range,storage_capacity,motion_detection_range,2.0,90.0,15.0,32.0,10.0,12.0,180.0,100.0,512.0,50.0
shuffleboard_table,Imagine you are an underwater welder. Which shuffleboard table would you prefer?,playing_surface_length,climate_adjustability,surface_flatness,wood_hardness,puck_smoothness,9.0,3.0,0.1,950.0,1.0,22.0,9.0,2.0,2500.0,10.0
reusable_bag,Imagine you are Miyagi. Which reusable shopping bag would you prefer?,load_capacity,folded_volume,strap_length,washability,water_resistance,10.0,2.0,12.0,20.0,5.0,50.0,20.0,30.0,200.0,120.0
luggage_tag,Imagine you are Kylie Jenner. Which luggage tag would you prefer?,durability_rating,visibility_distance,information_capacity,water_resistance,attachment_strength,1.0,5.0,50.0,1.0,5.0,10.0,30.0,500.0,48.0,50.0
inversion_table,Imagine you are Inigo Montoya. Which inversion table would you prefer?,max_inversion_angle,height_capacity,ankle_cushioning_thickness,frame_thickness,backrest_padding_thickness,30.0,48.0,0.5,1.0,1.0,180.0,78.0,3.0,3.0,4.0
shower_curtain,Imagine you are Chris Hemsworth. Which shower curtain would you prefer?,pattern_coverage,transparency,curtain_width,curtain_height,weight,0.0,0.0,70.0,70.0,8.0,100.0,60.0,108.0,96.0,24.0
milk_storage_bags,Imagine you are a horse trainer. Which breast milk storage bags would you prefer?,storage_capacity,leak_resistance_rating,freezer_life,material_thickness,pour_spout_width,4.0,1.0,3.0,0.1,10.0,8.0,10.0,12.0,0.5,30.0
nail_file,Imagine you are a voice actor. Which nail file would you prefer?,grit_level,file_length,thickness,flexibility_rating,durability_score,80.0,10.0,0.5,5.0,100.0,1000.0,25.0,3.0,45.0,1000.0
pasta_maker,Imagine you are Wade Watts. Which pasta maker would you prefer?,max_sheet_width,number_thickness_settings,number_cutting_attachments,warranty_length,weight,4.0,6.0,2.0,1.0,2.0,10.0,12.0,8.0,10.0,15.0
